FlapAngle,Mass,CG_X,CG_Y,CG_Z,Lxx,Lxy,Lxz,Lyy,Lyz,Lzz
70,26.18,-19.019,-0.036,15.738,137531.489,-4.664,-2575.648,138174.711,25.891,84482.821
60,26.18,-17.179,-0.036,14.005,143507.811,-3.452,3476.369,125061.027,23.898,103996.565
50,26.18,-15.493,-0.036,11.542,148829.781,-2.374,7739.866,109302.177,21.326,127007.636
40,26.18,-14.014,-0.036,8.424,153383.099,-1.448,9825.859,92596.732,18.267,151114.066
30,26.18,-12.787,-0.036,4.746,157074.168,-0.686,9641.813,76770.927,14.813,173736.031
20,26.18,-11.848,-0.036,0.619,159827.533,-0.097,7397.975,63564.126,11.059,192417.066
10,26.18,-11.226,-0.036,-3.831,161583.752,0.314,3576.3,54424.174,7.095,205112.073
0,26.18,-10.94,-0.036,-8.469,162298.28,0.542,-1134.103,50337.176,3.01,210427.677
-10,26.18,-10.999,-0.036,-13.154,161941.758,0.584,-5927.018,51712.092,-1.108,207786.092
-20,26.18,-11.401,-0.036,-17.743,160501.829,0.436,-9983.595,58333.963,-5.171,197492.888
-30,26.18,-12.133,-0.036,-22.098,157986.31,0.095,-12578.437,69391.33,-9.088,180700.536
-40,26.18,-13.174,-0.036,-26.086,154427.288,-0.44,-13174.261,83574.495,-12.765,159272.098
-50,26.18,-14.492,-0.036,-29.585,149885.495,-1.169,-11493.521,99232.765,-16.103,135561.458
-60,26.18,-16.046,-0.036,-32.49,144454.179,-2.083,-7558.135,114571.721,-19.002,112136.41
-70,26.18,-17.79,-0.036,-34.712,138261.672,-3.171,-1692.332,127866.792,-21.362,91477.824
